,L,PAROLES,Dimension Dialogique,Dimension Epistémique,Domaine,N,Unnamed: 3
954,L2,des deux parties pour satisfaire tout à chacun,Préc,0,,343,
955,L3,après il y a le numérique alors je n’ai rien écrit ?,Q,0,,344,
956,L4,lequel le 9,0,0,,345,
957,L3,ouais  pour moi enfin je n’ai rien écrit mais alors j’avais dans l’idée que pour moi le numérique ça serait genre heu pour tout ce qui est consommation donc pouvoir voir sa consommation en direct ,P59,0,,0346a,
958,L3,pouvoir également genre heu bah les équipements publics pouvoir voir genre s’il reste des voitures de libres ou pas,P60,0,,0346b,
959,L2,un système de réservation,P61,0,,347,
960,L3,ouais un système de réservation machin,[+],0,,348,
961,L4,c’est ce que j’ai marqué j’ai marqué un autre exemple j’ai marqué réservation de ressources via un site Internet ou une application Smartphone ou tablette en temps réel ,Préc,0,,349,
962,L3,ouais,[+],0,,350,
963,L4,par exemple comme vous l’avez dit il y a l’application on peut voir en temps réel et en fait j’avais mis un exemple dans la question d’avant heu par exemple si on a un espace commun par exemple un studio de musique heu dans lequel quelqu’un peut s’entraîner donc heu un studio de musique qu’on a au quartier une plateforme ou site Web pourrait être mise en place pour faire une réservation dans les temps par exemple j’ai besoin de ce studio demain de 14h à 15h je réserve sur le site que ça c’est réservé j’en ai besoin  donc c’est un espace mais c’est toujours la même idée la réservation,Préc,FAI,,351,
964,L3,ouais après tu peux peut-être mettre dans l’autre feuille là justement les exemples avec par exemple les vélos tout le système de salle de musique,[+],0,,352,
965,L4,d’accord oui oui oui,0,0,,353,
966,L3,et aussi peut-être genre pouvoir faire des plannings pour les lieux qui sont en commun  pour le ménage et tout par exemple faire des plannings,P62,0,,354,
967,L3,heu est-ce qu’on ne peut pas faire aussi enfin je ne sais pas c’est une idée mais genre un réseau social heu juste uniquement pour le quartier où on met genre les événements qui vont se passer  ,P63,0,,364,
968,L4,ouais ouais ouais parfait,[+],0,,365,
969,L2,ouais,[+],0,,366,
970,L4,on peut faire un groupe Facebook ou,Préc,0,,367,
971,L3,j’ai pas trop d’autres d’idées  donc je mets le système de planning pour les tâches communes ?,Q,0,,368,
972,L2,oui tu peux mettre,[+],0,,369,
973,L3,heu après il y avait alors je sais pas enfin heu je sais qu’il y avait un quartier je ne sais plus dans quel pays genre ils disaient ils avaient carrément une chaîne de télé du quartier et tout mais après c’est peut-être un peu trop,P64,0,,370,
974,L2,il faut du temps pour ça,Préc,0,,371,
975,L3,ouais voilà,[+],0,,372,
976,L4,donc la 10 je n’ai pas eu le temps de la,0,0,,377,
977,L3,[moi non plus,0,0,,378,
978,L2,[non plus,0,0,,379,
979,L4,donc on va penser à ça ensemble ,0,0,,380,
980,L3,politiques climatiques ou autres ((lit les consignes)),0,0,,381,
981,L4,bah là ça rejoint ton idée de chaîne de télévision,Préc,0,,382,
982,L3,du coup je ne vois pas trop les trucs climatiques je vois pas en quoi ?,Q,0,,383,
983,L2,bah climatique c’est juste pour débattre genre tiens ta consommation elle est de tant ce que tu vas faire pour faire évoluer les choses,P65,0,,384,
984,L4,on peut mettre par exemple une réunion mensuelle pour voir les consommations heu d’énergie ,P66,0,,385,
985,L2,donc du coup du quartier pour voir quelles sont les pistes de réflexion et faire évoluer les choses,Arg+,VA,engagement,,
986,L4,oui donc heu on on fait ça mensuel ça sera une réunion mensuelle pour débattre de tout ce qui est consommation,Préc,0,,387,
987,L2,d’eau d’électricité ouais,[+],0,,388,
988,L3,heu de la consommation,[+],0,,389,
989,L2,d’eau d’électricité ou du groupe en fait pistes de réflexion pour l’évolution,Préc,0,,390,
990,L3,ouais,[+],0,,391,
991,L4,est-ce qu’on pourrait faire heu on pourrait développer un système ,Préc,0,,0392a,
992,L4,heu je sais pas d’alarme je sais pas si c’est une bonne appellation alarme mais par exemple c’est quelque chose ça serait un système automatique qui fait une comparaison par exemple heu le mois dernier à ce moment-là vous aviez consommé autant attention ce mois vous avez consommé plus donc c’est un système qui qui heu,P67,0,,392,
993,L3,après je ne sais pas je pense c’est faisable genre par SMS enfin mais ,Préc,0,,393,
994,L4,ouais ouais c’est,[+],0,,394,
995,L3,je sais pas  mais après pour moi je pense que ça serait plus dans les trucs numériques,Préc,0,,395,
996,L4,dans le numérique ouais  donc un système de calcul intelligent qui fait une comparaison,Préc,0,,396,
997,L2,d’autorégulation,Préc,0,,397,
998,L4,oui pour heu pour dire par exemple attention il y a un taux excessif ce mois-ci de consommation ça serait bien de de faire attention par exemple  quelque chose du genre,Préc,0,,398,
999,L2,organiser une réunion  on peut rajouter après tout ce qui est partage de la cuisine comme ils ont montré en fait partager un plat en commun,P68,0,,399,
1000,L3,là,0,0,,400,
1001,L2,ouais je sais pas si vous connaissez le slow food par exemple,Préc,0,,401,
1002,L3,le quoi,0,0,,402,
1003,L4,quoi ,0,0,,403,
1004,L2,le slow food,Préc,0,,404,
1005,L4,slow food,0,0,,405,
1006,L2,c’est contre le fast food en fait et c’est plus pour que tout à chacun apprenne à se connaître avec des animations en fait autour,Préc,0,,406,
1007,L4,ah ouais on peut mettre ça c’est une bonne idée le slow food je n’ai jamais entendu ça,[+],0,,407,
1008,L2,tu peux inviter à manger par exemple on va dire  heu de n’importe quelle région tu vas prendre le temps de connaître la vie du quartier,Préc,0,,408,
1009,L4,est-ce qu’on pourrait faire heu  comment dire  heu imaginons que maintenant on ne pense pas justement à un seul quartier imaginons qu’il y en a plusieurs  on peut peut-être faire une réunion inter-quartiers heu,P69,0,,409,
1010,L3,ouais,[+],0,,410,
1011,L4,je sais pas,0,0,,411,
1012,L2,oui c’est ça le concept un peu du coup tu vas aller voir un peu ce qui se passe chez les voisins prendre le temps de les connaître en fait,Préc,0,,412,
1013,L3,je mets heu réunion avec les autres quartiers,[+],0,,413,
1014,L3,ok culturel échange d’idées aussi,Préc,0,,418,
1015,L4,ça pourrait être aussi heu  bah heu  s’il y a deux quartiers il y en a un qui consomme plus que l’autre bah voir pourquoi,Préc,0,,419,
1016,L3,oui un échange d’idées genre d’aider ,Préc,0,,420,
1017,L4,peut-être faire des compétitions inter-quartiers heu une compétition annuelle par exemple avec un prix qui serait heu je ne sais pas une éolienne à installer par exemple si si ce quartier est celui qui a le moins consommé pendant toute l’année bah il pourra gagner à la fin de l’année une éolienne donc,Préc,0,,421,
1018,L3,je ne suis pas sûre que ça parce qu’une éolienne c’est super cher quand même ((rires)),0,0,,422,
1019,L4,je ne sais pas ((rires)),0,0,,423,
1020,L3,enfin après je suis d’accord sur le système de recevoir un prix mais une éolienne heu,[+],0,,424,
1021,L4,une récompense pour le quartier ayant le moins consommé ,Préc,0,,425,
1022,L3,ouais,[+],0,,426,
1023,L4,ou ayant le mieux géré ses ressources énergétiques,Préc,0,,427,
1024,L3,même heu enfin je sais pas tu veux vraiment parler entre les quartiers ou au sein même du quartier genre récompenser les familles  ,P70,0,,428,
1025,L4,bah si c’est au sein même du quartier ouais ça peut se faire aux deux échelles,[+],0,,429,
1026,L3,ouais,0,0,,430,
1027,L2,on peut aussi mettre une rencontre intergénérationnelle,P71,0,,431,
1028,L4,ouais c’est intéressant ça,[+],0,,432,
1029,L2,vie associative comme le partage de passions tiens untel aime tel sport telle musique bah tient viens avec moi,Préc,0,,433,
1030,L3,tu m’as dit quoi vie associative,0,0,,434,
1031,L2,sportive culturelle,Préc,0,,435,
1032,L4,passion il a dit passion  passion commune  ce qui serait intéressant aussi c’est imaginons il y a des familles qui veulent faire un babysitting heu etc donc heu peut-être favoriser les les gens du quartier eux-mêmes à s’entraider puisque c’est un système collaboratif imaginons que  qu’il y a des petits jobs qui vont se faire des petits jobs qui vont apparaître ça va être favorisé  imaginons qu’il y a un bricoleur dans le quartier on ne va pas aller au bricoleur d’en face pour faire réparer son fer à repasser,P72,0,,436,
1033,L3,favoriser l’échange entre les gens par le biais de services,Préc,0,,437,
1034,L4,de services exactement,[+],0,,438,
1035,L2,tiens tu peux mettre aussi une plateforme dans le numérique ,Préc,0,,439,
1036,L3,ouais,[+],0,,440,
1037,L2,multiservices,Préc,0,,441,
1038,L2,je pense à la crèche,P73,0,,448,
1039,L3,ouais,[+],0,,449,
1040,L4,ouais est-ce qu’on pourrait instaurer un système… ?,Q,0,,0450a,
1041,L4,que que chaque mois par exemple lors des réunions mensuelles qu’on va faire qu’il y ait une famille qui préside heu  donc une entité de ce quartier qui préside la réunion ,P74,0,,0450b,
1042,L4,donc comme ça ça pourrait être heu ça serait un système de ça ne serait pas un monopole,Arg+,Va,équité,,
1043,L2,tu mets politique collaborative,Préc,0,,458,
1044,L4,comme ça ça laisse le droit à chacun de pouvoir heu,Arg+,Va,équité,,
1045,L2,chacun pourra animer la à ce moment-là les réunions,Arg+,Va,équité,,
1046,L4,donc c’est quoi votre vision du quartier ? chacun en parle un petit peu,Q,0,,1,
1047,L2,bah j’imagine qu’on est à peu près d’accord sur l’économie d’énergie machin,P1,0,,6,
1048,L3,ouais les objectifs d’économie d’énergie,[+],0,,7,
1049,L1,ouais tout à fait tout le côté interdépendant de la population pas sur toutes les questions mais après,Préc,0,,8,
1050,L3,bah en fait y’a le côté environnement bah on va limiter la consommation des ressources et puis les atteintes à l’environnement etc,Préc,VA,,9,
1051,L2,ouais le gaspillage machin ouais,[+],0,,10,
1052,L3,et une autre question sociale faire du lien social,P2,0,,11,
1053,L2,non,[-],0,,12,
1054,L4,l’accès à plus de ressources aussi,P3,0,,13,
1055,L2,le lien social moi ça m’intéresse pas ((rires)),[-],0,,14,
1056,L4,je pense,[+],0,,16,
1057,L1,après dans ce genre de cas enfin y’a une collabo- enfin une culture ce que j’ai marqué c’est une culture commune dissociée d’une culture de l’individu c’est vraiment séparer ces deux notions ,P4,0,,0017a,
1058,L1,parce que l’individu pourra toujours se ramener pourra toujours ramener les choses à la personne pourra toujours être pris de jalousie ou quelque chose comme ça,Arg+,VA,relations sociales,,
1059,L3, ((acquiescements)),[+],0,,18,
1060,L4, ((acquiescements)),[+],0,,19,
1061,L3,ouais,[+],0,,21,
1062,L1,très sensible et très informelle avec toute cette population,Préc,0,,22,
1063,L3,ouais j’avais noté un truc qu’était en lien avec ça c’était ,Préc,0,,23,
1064,L4,il faut tout changer en fait ?,Q,0,,24,
1065,L3,un peu prise de conscience générale c’est que tu si tu comprends donc si t’as une cul- enfin c’est un peu ça et t’acceptes les choses du coup tu les mets en œuvre enfin ,Arg+,VA,acceptabilité,,
1066,L1,ouais carrément,[+],0,,26,
1067,L3,si t’as une conscience collective de ton action et tout ça,Arg+,VA,acceptabilité,,
1068,L1,mais après y’a ouais exactement c’est,[+],0,,28,
1069,L3,tu peux changer tes comportements que si tu comprends bien et que tu l’acceptes,Arg+,VA,acceptabilité,,
1070,L1,ouais pourquoi tu le fais,[+],0,,30,
1071,L3,et que tu l’as choi- voté enfin pas voté dans ce cas là mais,Arg+,VA,acceptabilité,,
1072,L1,c’est ce qui enfin c’est qui ouais le point commun c’est exactement ça  ouais la création d’une culture c’est qu’en fait on rapporte son enfin putain excusez moi j’ai un peu des problèmes ce matin,Préc,0,,32,
1073,L4,et la religion on en ferait quoi en fait avec ça ?,Q,0,,33,
1074,L1,bah en fait c’est pas di- enfin c’est absolument compatible c’est juste qu’en fait la création d’une cul- culture commune de d’économie etc ça fait qu’on est plus dans un rapport avec soi ou avec tes croyances ou quoique ce soit on est juste dans un rapport où en fait on se dit tous qu’il faut enfin que c’est normal,Arg+,VA,engagement,,
1075,L3,qu’on devrait tous pouvoir,Arg+,VA,engagement,,
1076,L1,de pas consommer de pas surconsommer,Arg+,VA,engagement,,
1077,L3,ouais,[+],0,,37,
1078,L1,et le but c’est pas de se dire ah merde il consomme mon voisin consomme plus que moi donc du coup je peux consommer d’autant plus quoi on est plus dans c’est vraiment abattre l’individualisme,Arg+,VA,engagement,,
1079,L3,ça après y’a des aspects plus personnels,Préc,0,,39,
1080,L2,après désolé  de faire le mec relou mais enfin pour moi c’est juste t’essaye d’améliorer ton propre comportement en espérant que les autres fassent la même chose ,Arg-,VA,engagement,,
1081,L2,c’est-à-dire que moi la culture commune moi clairement j’en veux pas par exemple  moi ça me ferait chier d’habiter dans un truc comme ça enfin  et du coup,Arg-,VA,acceptabilité,,
1082,L4,((rires)),0,0,,41,
1083,L2,nan mais voilà bon,0,0,,42,
1084,L4,oui oui mais c’est bien,0,0,,43,
1085,L2,tu vois donc du coup je pense que pour des gens comme ça c’est déjà un peu plus chiant enfin typiquement quand tu repenses aux Québécois ils avaient l’air tout très gentils hein mais moi les ateliers menuiserie moi non,Arg-,VA,acceptabilité,,
1086,L1,non non mais,0,0,,45,
1087,L4,nan mais c’est des propositions tu choisis,Arg+,VA,liberté,,
1088,L3,mais justement tu choisis c’est des propositions et justement tu choisis si t’y vas t’y vas pas,Arg+,VA,liberté,,
1089,L2,tu choisis mais tout choix tout choix implique un comment dire un une réception sociale de ton choix donc ,Arg-,VA,relations sociales,,
1090,L3,ouais c’est quand même tu as le choix,Arg+,VA,liberté,,
1091,L2,t’auras toujours si tu as une culture commune t’auras toujours des gens contre cette culture commune,Arg-,VA,acceptabilité,,
1092,L4,mais après c’est sûr que faut faut s’entendre après faut ça doit être compliqué,Arg-,VA,relations sociales,,
1093,L2,nan mais ça je suis d’accord mais enfin,[+],0,,52,
1094,L1,moi je parle pas forcément,0,0,,53,
1095,L2,moi c’est juste moi c’est juste loger les gens de façon convenable ,P5,0,,0054a,
1096,L2,tu vois qu’ils aient une vie à peu près agréable pour tout le monde,Arg+,VA,agréabilité,,
1097,L2,si après en plus y’a des cultures communes qui se construisent tant mieux ou tant pis après ça dépend comment tu vois le truc,Préc,VA,,0054c,
1098,L1,ouais mais quand on parle de culture commune on parle pas forcément effectivement d’une implication concrète,Arg+,VA,engagement,,
1099,L2,nan mais ce que je veux dire c’est pas forcément un objectif tu vois,[-],0,,56,
1100,L4,oui d’accord,0,0,,57,
1101,L3,on parle plutôt de la décision et de l’acceptabilité par tout le monde,Arg+,VA,liberté,,
1102,L4,oui je comprends t’façon t’as ton t’as ton logement personnel après le mec il s’intègre ou pas mais après il peut partager en tout cas,Arg+,VA,liberté,,
1103,L1,enfin c’est plus d’être peut-être dans un rapport où individualiste enfin sur sur ton sur ,Préc,0,,60,
1104,L2,nan nan mais je comprends ce que tu veux dire,[+],0,,63,
1105,L1,mais après je veux dire après c’est après si t’as pas envie de te bouger et que tu veux pas aller dans l’atelier tu le fais pas tu vois,Arg+,VA,liberté,,
1106,L2,nan mais après si on partage des ressources c’est juste que,0,0,,65,
1107,L1,ouais,0,0,,66,
1108,L4,ça fait un peu comme les moines par exemple les moines bouddhistes c’est vrai qu’ils ont des trucs mais ils sont pas à eux ils les possèdent pas c’est à toute la,Arg+,VA,partage,,
1109,L2,oui toute la communauté bien sûr  nan mais ça,0,0,,68,
1110,L1,c’est ce que je veux dire c’est comme le coup de la perceuse tu vois je veux dire c’est ,0,0,,69,
1111,L2,oui nan mais exactement,0,0,,70,
1112,L1,la perceuse t’as pas envie de la prêter mais ce que je veux dire c’est qu’en fait culturellement si tout es changé et que tu te dis bah en fait ma perceuse c’est un peu celle de toute le monde je veux dire t’es pas obligé d’aller taper l’atelier avec les gens tu vois,Arg+,VA,liberté,,
1113,L2,nan nan ça je suis d’accord hein je suis d’accord,[+],0,,72,
1114,L4,et du coup moi le quartier je pensais mais je pense que ça doit être pareil pour tout le monde tout le baser au niveau numérique en fait un peu comme le vélib c’est-à-dire qu’est-ce qui est disponible,P6,0,,73,
1115,L1,bah c’est vrai que au niveau interface et,0,0,,74,
1116,L3,comment ça j’ai pas,0,0,,75,
1117,L4,au niveau des applications tout ça savoir ce qui est disponible ce qui n’est pas disponible avec de la visualisation si c’est disponible ici ici,Préc,0,,76,
1118,L2,ouais voilà oui,[+],0,,77,
1119,L3,ouais,[+],0,,78,
1120,L4,le nombre quel est le nombre aussi,Préc,0,,79,
1121,L3,moi je pensais qu’il faudrait réaliser ça au niveau ,0,0,,80,
1122,L4,tout numériser en fait,0,0,,81,
1123,L3,qu’il faudrait en fait une appli- enfin une grosse appli où dedans t’as plein de sous trucs où tu ,P7,0,,82,
1124,L4,ouais ou ouais plusieurs appli même parce que ça ferait peut-être ça prend trop de place je pense,Préc,0,,83,
1125,L3,ouais je sais pas ouais c’est ça plusieurs appli mais regroupées sur un serveur,Préc,0,,84,
1126,L4,oui,0,0,,85,
1127,L3,je sais pas comment on appelle ça mais un truc où t’as le truc des voitures le truc des,Préc,0,,86,
1128,L2,mais si t’as dix laveries dans le enfin dix machines à laver tu sais que tu regardes ce qui est libre ou pas,Préc,0,,87,
1129,L3,ouais c’est ça tu regardes la libre tu peux réserver,Préc,0,,89,
1130,L4,ouais ouais ,[+],0,,90,
1131,L2,oui ça bon ça,[+],0,,91,
1132,L3,le point le plus important c’était quoi c’était  économiser l’utilisation des ressources,P1,0,,103,
1133,L2,oui optimisation de la gestion de ressources,Préc,0,,104,
1134,L1,gestion et optimisation ouais voilà moi je vois même pas ça vraiment forcément dans un rapport social avec les autres hein enfin je considère que justement faut établir un système,Arg+,VA,relations sociales,,
1135,L2,nan nan mais juste d’un point de vue matériel ?,Q,0,,106,
1136,L1,ouais ouais en gros c’est établir un système qui convient aussi bien à l’individu en lui-même et à des groupes de gens qui veulent se rencontrer c’est ,Arg+,VA,relations sociales,,
1137,L4,((acquiscements)) optimiser,[+],0,,108,
1138,L3,optimiser l’utilisation des ressources,[+],0,,109,
1139,L2,et de certains équipements d’intérêt général ou des trucs comme ça,Préc,0,,110,
1140,L1, ((acquiescements)),0,0,,111,
1141,L3,je mets consommation ,0,0,,0112a,
1142,L3,et atteinte à l’environnement ouais je voulais dire rejets et tout ça enfin,Préc,0,,0112b,
1143,L4,oui oui t’façon les ressources c’est tout quoi en fait,Préc,0,,113,
1144,L3,après je mets quoi ? y’avait le côté individuel toi t’avais dit les économies pour chacun ?,Q,0,,114,
1145,L4,bah avoir nan c’est c’est comme optimiser les ressources quoi en fait c’est avoir accès à plus de ressources ça rentre dans l’optimisation je pense,P3,0,,117,
1146,L3,ok,0,0,,118,
1147,L4,après ouais je pensais,0,0,,119,
1148,L3,en fait pour moi c’était un peu différent parce que ça c’est plutôt au niveau atteinte à l’environnement quoi c’est ce que tu prends et ce que tu rejettes,Arg+,VA,écologique,,
1149,L4,oui bah,0,0,,121,
1150,L2,bah c’est surtout en fait aussi tu prends que ce que tu que ce dont tu as besoin donc ,Arg+,VA,écologique,,
1151,L3,l’autre c’est plutôt là c’est plutôt collectif,Préc,0,,123,
1152,L4,oui bah oui bah tu peux mettre ça,[+],0,,124,
1153,L2,enfin,0,0,,125,
1154,L4,avoir accès à plus de ressources quelqu’un qu’a pas pu s’acheter une voiture parce qu’il avait pas de sous s’il est dans une communauté de dix personnes il pourra y avoir accès,Arg+,FAI,économique,,
1155,L1,oui oui,[+],0,,127,
1156,L3,je mets au niveau individuel comme ça ,Préc,0,,128,
1157,L4,qui doit apprendre quelque chose à l’utilisateur et du coup ça pourrait être réapprendre les notions de partage d’entraide,P8,0,,132,
1158,L3,ouais  donc ça c’est un peu les,[+],0,,133,
1159,L4,d’écoute parce y’a le consensus aussi  on va en parler après t’façon,Préc,0,,134,
1160,L3,ouais du coup partage partage des connaissances des compétences,Préc,0,,135,
1161,L3,et puis y’avait l’histoire de la culture commune quoi faire  des réflexions au niveau,Q,0,,0139b,
1162,L2,mais c’est un peu ça en fait,Préc,0,,140,
1163,L1,oui bah là on établit une culture commune qui est ,Préc,0,,141,
1164,L2,oui,[+],0,,142,
1165,L4,ouais,[+],0,,143,
1166,L1,on pourrait aller plus loin mais,0,0,,144,
1167,L2,moi je voulais mettre en avant aussi cadre de vie agréable  parce que bon vivre dans des immeubles c’est sympa mais enfin s’ils sont moches c’est quand même glauque quoi aussi,Arg+,VA,agréabilité,,
1168,L4,ouais ça dépend ça peut-être aussi des maisons ou juste,Préc,0,,146,
1169,L2,oui voilà bien sûr,[+],0,,147,
1170,L1,mais là tu veux faire comment à ce moment là ?,Q,0,,148,
1171,L2,je pensais à je pensais en termes plus esthétiques,Préc,VA,,149,
1172,L4,ouais ouais,[+],0,,150,
1173,L4,bon faut avancer là parce qu’on perd trop de temps deux comment le quartier serait alimenté en eau et électricité ? bah ça suit un peu ce qu’on a vu dans les vidéos,Q,0,,154,
1174,L2,ouais j’ai mis smart grid ,P9,0,,0155a,
1175,L2,avec panneaux solaires et des trucs comme ça,P10,0,,0155b,
1176,L4,déjà oui,[+],0,,156,
1177,L3,oui oui,[+],0,,157,
1178,L1,ouais tu marques tous les moyens de production écologiques déjà,0,0,,158,
1179,L2,ouais,0,0,,159,
1180,L4,et après y’avait dans une vision futuriste moi je pensais à une salle de sport  par exemple tu vas faire tourner x ça produit de l’énergie,P11,0,,160,
1181,L2,ah c’est ça ton dessin,0,0,,161,
1182,L1,ouais ça ça c’est avec des systèmes de dynamo tu peux ça peut être cool,[+],0,,162,
1183,L3,ouais on peut mettre ça,[+],0,,163,
1184,L1,après ouais c’est tu mets ouais système de dynamo,Préc,0,,164,
1185,L4,ce qu’il faut savoir là c’est que c’est pas encore le jeu donc tu mets x,0,0,,165,
1186,L3,ça produit de l’électricité donc je mets panneaux solaires ?,Q,0,,166,
1187,L1,ouais éoliennes ,P12,0,,0167a,
1188,L1,panneaux solaires,[+],0,,0167b,
1189,L3,tu penses que c’est bien panneaux solaires ? parce que moi ce que j’ai entendu dire c’est qu’en fait tu consommais vachement de minéraux rares pour les fabriquer et c’est si bien enfin,Arg-,VA,écologique,,
1190,L2,oui y’a les terres rares,[+],0,,169,
1191,L4,ouais et ça coûte cher,Arg-,FAI,économique,,
1192,L1,les panneaux solaires c’est pas,0,0,,171,
1193,L2,oui mais on peut imaginer qu’on est dans un futur où on peut faire des panneaux solaires en plastique,Arg+,FAI,faisabilité,,
1194,L4,oui oui nan après c’est sûr,[+],0,,173,
1195,L3,et y’avait les les panneaux qui chauffent l’eau sur les toits ,P13,0,,0174a,
1196,L3,et ça j’ai entendu dire ça marche vachement bien,Arg+,FAI ,efficacité,,
1197,L1,je pense que sans  ouais et ça marche bien aussi mais en fait le truc c’est qu’on va plutôt rabaisser ça à le,0,0,,175,
1198,L2,enfin c’est des sources d’énergie ouais non nucléaire ou des trucs comme ça,Arg+,VA,écologique,,
1199,L1,enfin on va peut-être pas le ou tu vois rien que la production du panneau solaire elle est déjà super polluante donc ,Arg-,VA,écologique,,
1200,L3,oui voilà c’est ça ,[+],177,,178,
1201,L1,et au bout de 8 ans c’est ca- ça se casse et ça se recycle pas je veux dire c’est un peu un truc ,Arg-,VA,écologique,,
1202,L3,on va peut-être pas parler de ça alors,0,0,,180,
1203,L1,un rapport tout pourri,Préc,0,,181,
1204,L4,ouais,0,0,,182,
1205,L1,d’un point de vue énergétique,Préc,0,,183,
1206,L4,mais je pense que ça va changer justement,Arg+,FAI,faisabilité,,
1207,L1,ouais x,0,0,,185,
1208,L2,après ça dépend combien de temps le panneau dure aussi  si s’il tient 300 ans,Arg+,FAI,faisabilité,,
1209,L3,si on est un peu en bordure de campagne on peut faire des éoliennes,Arg+,FAI,faisabilité,,
1210,L1,ouais,[+],0,,188,
1211,L3,parce que ça du coup on peut mettre des plantations au pied des éoliennes et tout ça,Arg+,VA,écologique,,
1212,L4,je crois que les éoliennes ça produit pas énormément d’énergie,Arg-,FAI,efficacité,,
1213,L1,ça produit énormément,0,0,,191,
1214,L2,ça marche pas tellement non plus,Arg-,FAI,efficacité,,
1215,L1,et ce que je veux dire c’est que,0,0,,193,
1216,L4,pour un quartier oui mais après,Arg-,FAI,efficacité,,
1217,L2,en plus c’est quand même moche,Arg-,VA,esthétique,,
1218,L4,après si tu fais une énorme éolienne pour le quartier,Préc,0,,196,
1219,L3,mais on s’en fout de ça si ça fait de l’énergie et tout,Arg+,VA,écologique,,
1220,L2,ouais mais si ça en fait pas c’est quand même chaud,Arg-,FAI,efficacité,,
1221,L3,et même si le vent,0,0,,199,
1222,L4,tu la mets en plein milieu du quartier l’éolienne l’énorme éolienne,Préc,0,,200,
1223,L3,nan mais en bordure à l’endroit où on a aussi des cultures ,Préc,0,,201,
1224,L2,nan mais après faudrait faire des éoliennes horizontales une hélice énorme qui tourne comme ça  ce serait marrant ça  tu pourrais t’amuser à foutre des trucs par-dessus et de les voir flotter,Préc,0,,202,
1225,L1,je trouve qu’aller chercher de l’eau au puits c’était pas mal,P14,0,,203,
1226,L4,ouais aussi,[+],0,,204,
1227,L1,parce qu’au final t’as un rapport enfin au final c’est pas ça la finalité de la chose mais c’est juste que t’as un rapport  différent avec ce que tu fais c’est à dire que tu prévois ta consommation en allant chercher un  tu vois si tu veux,Arg+,VA,engagement,,
1228,L2,ça ça pourrait marcher si on avait des robots pour le faire,Préc,0,,206,
1229,L4,ouais voilà une fontaine,[+],0,,207,
1230,L1,bah nan parce que oui enfin oui ça marche aussi,0,0,,208,
1231,L4,tu vois une fontaine au milieu ou un puits où tout le monde va chercher,Préc,0,,209,
1232,L1,ouais tout le monde te montre du doigt si tu prends trop d’eau tu vois,Arg+,VA,relations sociales,,
1233,L2,ouais parce que moi je veux pas je prends l’eau je prends l’eau,Arg-,VA,liberté,,
1234,L4,bah c’est pas grave,0,0,,212,
1235,L1,nan c’est pas trop le problème mais c’est pour dire que par exemple si tu veux t’alimenter bah tu vas chercher ta batterie et tu vas la recharger dans un point commun  tu vois c’est-à-dire t’imagine que toute l’électricité elle est centralisée dans un bâtiment tu recharges des batteries et si tu veux aller t’alimenter tu vas chercher ta batterie et sachant que ta batterie a une durée de vie  limitée si tu veux la recharger il faut que tu ailles dans ce bâtiment  ,P15,0,,0213a,
1236,L1,là c’est juste pour établir un rapport où  tu as un peu d’obligation à regarder ce que tu fais et à,Arg+,VA,engagement,,
1237,L2,ouais c’est le truc de protestants quoi,[-],0,,214,
1238,L4,mais parce que les gens,0,0,,215,
1239,L1,ouais voilà nan mais le truc c’est que c’est pas une finalité dès la chose c’est juste pour dire que ce système ça t’oblige à  ,Arg+,VA,engagement,,
1240,L2,nan mais il impose sur quand même le fait que t’es jugé par les autres quoi si tu déconnes avec le truc ,Arg-,VA,relations sociales,,
1241,L1,bah non si ta batterie est vide parce que t’as trop consommé bah t’es t’as l’air un peu con t’es obligé de te bouger ton cul pour aller te la recharger quoi ,Arg+,VA,engagement,,
1242,L2,ouais bien sûr,0,0,,219,
1243,L1,mais c’est d’être absolument pas jugé par les autres personne te jugera parce que c’est un point d’accès à,Arg+,VA,relations sociales,,
1244,L4,mais ça peut être,0,0,,221,
1245,L1,le principe c’est pas de faire ça mais c’est juste de dire que bon on peut trouver un moyen de sensibiliser la personne sa consommation d’énergie tu vois je te dis pas d’aller chercher de l’eau dans un puits c’est complètement,Arg+,VA,engagement,,
1246,L3,moi pour l’eau y’avait l’histoire que  bon ça c’est pas au niveau du quartier mais c’est facturé à l’arrivée dans ton logement ,P16,0,,0223a,
1247,L3,et du coup  ça permet que le pro- enfin celui qui fournit l’eau il entretient les réseaux parce que sinon il s’en fout il entretient pas les réseaux en cas de fuites etc mais bon ça ça dépend pas vraiment du quartier mais c’est important,Arg+,VA,engagement,,
1248,L1,ouais pas mal ouais ouais,[+],0,,224,
1249,L2, ça c’est une idée,[+],0,,225,
1250,L3,"et les trucs de, les réservoirs pour récupérer l’eau de pluie et tout ça",P17,0,,231,
1251,L2,ouais ça les trucs comme ça,[+],0,,232,
1252,L3,mais après tu fais quoi tu fais l’arrosage des espaces verts,Préc,0,,233,
1253,L1,ouais oui,[+],0,,234,
1254,L2,ouitu peux imaginer le recyclage en forme une forme de recyclage des eaux,P18,0,,235,
1255,L3,mais le pire c’est est-ce que les gens ils le feront vraiment enfin ?,Q,0,,248,
